mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__lr,param_classifier__max_epochs,param_classifier__model_class,param_classifier__n_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06769299507141113,0.008556671641751199,0.0008007526397705078,0.00040037712559243846,0.01,100,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 0.01, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,0.95,0.85,0.95,0.9,0.93,0.05099019513592784,23
0.003503227233886719,0.0004439962009452581,0.0006020069122314453,0.0004915529913335939,0.01,100,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 0.01, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.39388394355773926,0.04028165729713739,0.001001882553100586,4.258024997559705e-06,0.01,500,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 0.01, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,32
0.028380584716796876,0.012122553433989412,0.0010024547576904298,0.0006332497387695097,0.01,500,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 0.01, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.019833993911743165,0.006554081986039649,0.000800180435180664,0.0004000914785173061,0.0001,10,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0013020038604736328,0.00040019982809470447,0.0010014057159423828,0.0006358106579274418,0.0001,10,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.058311748504638675,0.007309196771083423,0.0014045238494873047,0.0008582649750544186,0.0001,50,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0025966644287109377,0.00035863538601605777,0.00041308403015136717,0.0004804970382191706,0.0001,50,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.10388007164001464,0.010059933328764079,0.0006003379821777344,0.0004901746597608922,0.0001,100,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.003307151794433594,0.00041155056299491843,0.0013426780700683595,0.0004257271633213503,0.0001,100,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
