mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__lr,param_classifier__max_epochs,param_classifier__model_class,param_classifier__n_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08150792121887207,0.006074351492456618,0.001199960708618164,0.00040042512151931744,0.01,10,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 0.01, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.6228070175438597,0.6403508771929824,0.6403508771929824,0.7017543859649122,0.7699115044247787,0.6750349324639031,0.05449626699033183,25
0.40930790901184083,0.016190246792166376,0.0008027553558349609,0.00040139210527490645,0.01,50,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 0.01, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.6228070175438597,0.6228070175438597,0.631578947368421,0.6491228070175439,0.7079646017699115,0.6468560782487192,0.03202965836769829,28
0.8795292377471924,0.03513744351635842,0.0013077735900878906,0.0008178101385010701,0.01,100,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 0.01, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.6228070175438597,0.6228070175438597,0.631578947368421,0.6491228070175439,0.7168141592920354,0.6486259897531439,0.03542234774379851,27
4.374074459075928,0.4225883180176026,0.0009038448333740234,0.0004920869602816946,0.01,500,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 0.01, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.6228070175438597,0.631578947368421,0.631578947368421,0.6403508771929824,0.7256637168141593,0.6503959012575686,0.038040632431704496,26
0.0783724308013916,0.003448729387828079,0.0012063980102539062,0.00025096030690852284,0.0001,10,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.40350877192982454,0.7105263157894737,0.5964912280701754,0.7280701754385965,0.6194690265486725,0.6116131035553486,0.1157098722077466,32
0.4002853870391846,0.013704436207600056,0.001100921630859375,0.0006638143332707142,0.0001,50,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.7543859649122807,0.7456140350877193,0.7368421052631579,0.7456140350877193,0.7079646017699115,0.7380841484241577,0.016049158040319155,22
0.8315813064575195,0.035841543629309525,0.0010038852691650391,5.125944004202533e-06,0.0001,100,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.7192982456140351,0.7631578947368421,0.7368421052631579,0.7368421052631579,0.7256637168141593,0.7363608135382705,0.014994038460040503,23
4.420130205154419,0.27439201878748254,0.0011034488677978515,0.00037500150047408115,0.0001,500,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.7368421052631579,0.6754385964912281,0.7631578947368421,0.7456140350877193,0.7433628318584071,0.7328830926874709,0.030013361659209443,24
0.13553323745727539,0.042082596754246915,0.00100250244140625,0.0006331684570801876,1e-08,10,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.2719298245614035,0.5964912280701754,0.631578947368421,0.2894736842105263,0.6106194690265486,0.480018630647415,0.1632184440381951,33
0.41687307357788084,0.04586973228456256,0.0011033058166503907,0.00020214176060771974,1e-08,50,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.7105263157894737,0.6052631578947368,0.7368421052631579,0.7280701754385965,0.36283185840707965,0.6287067225586089,0.14106725113157925,30
0.817955493927002,0.08799743935122153,0.0008012294769287109,0.00040063282554541447,1e-08,100,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.2807017543859649,0.6842105263157895,0.7894736842105263,0.16666666666666666,0.4424778761061947,0.47270610153702847,0.23516605782603056,34
4.128641748428345,0.13270542679452324,0.0008009433746337891,0.00040047382707427857,1e-08,500,<class 'models.widrow_hoff.WidrowHoff'>,30.0,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 30}",0.5087719298245614,0.7543859649122807,0.40350877192982454,0.7456140350877193,0.7345132743362832,0.6293587952181338,0.14543312109849707,29
